"id","q","a","status"
1,"赤","あか",1
2,"牛","うし",1
3,"お菓子","おかし",1
4,"椅子","いす",1
5,"声","こえ",1
6,"咳","せき",1
7,"顔","かお",1
8,"鯉","こい",1
9,"靴","くつ",1
10,"酒","さけ",1
11,"島","しま",1
12,"彼処","あそこ",1
13,"傘","かさ",1
14,"世界","せかい",1
15,"西瓜","すいか",1
16,"上","うえ",1
17,"池","いけ",1
18,"駅","えき",1
19,"寿司","すし",1
20,"糸","いと",1
21,"下","した",1
22,"手","て",1
23,"月","つき",1
24,"口","くち",1
25,"蟹","かに",1
26,"茸","きのこ",1
27,"犬","いぬ",1
28,"お金","おかね",1
29,"茄子","なす",1
30,"地下鉄","ちかてつ",1
31,"魚","さかな",1
32,"布","ぬの",1
33,"猫","ねこ",1
34,"星","ほし",1
35,"箱","はこ",1
36,"部屋","へや",1
37,"船","ふね",1
